0000000,000,,NOP,NOP-type
0000011,000,,LB,I - Type 
0000011,001,,LH,I - Type 
0000011,010,,LW,I - Type 
0000011,100,,LBU,I - Type 
0000011,101,,LHU,I - Type 
0001111,000,,FENCE,
0010011,000,,ADDI,I - Type 
0010011,010,,SLTI,I - Type 
0010011,011,,SLTIU,I - Type 
0010011,100,,XORI,I - Type 
0010011,110,,ORI,I - Type 
0010011,111,,ANDI,I - Type 
0010011,001,,SLLI,I - Type 
0010011,101,0000000,SRLI,I - Type 
0010011,101,0100000,SRAI,I - Type 
0010111,,,AUIPC,U -Type
0100011,000,,SB,S-Type
0100011,001,,SH,S-Type
0100011,010,,SW,S-Type
0110011,000,0000000,ADD,R-Type
0110011,000,0100000,SUB,R-Type
0110011,001,0000000,SLL,R-Type
0110011,010,0000000,SLT,R-Type
0110011,011,0000000,SLTU,R-Type
0110011,100,0000000,XOR,R-Type
0110011,101,0000000,SRL,R-Type
0110011,101,0100000,SRA,R-Type
0110011,110,0000000,OR,R-Type
0110011,111,0000000,AND,R-Type
0110011,000,0000001,MUL,R-Type
0110011,001,0000001,MULH,R-Type
0110011,010,0000001,MULHSU,R-Type
0110011,011,0000001,MULHU,R-Type
0110011,100,0000001,DIV,R-Type
0110011,101,0000001,REM,R-Type
0110011,111,0000001,REMU,R-Type
0110111,,,LUI,U -Type
1101111,,,JAL,J-Type
1100111,000,,JALR,I - Type 
1100011,000,,BEQ,B-Type
1100011,001,,BNE,B-Type
1100011,100,,BLT,B-Type
1100011,101,,BGE,B-Type
1100011,110,,BLTU,B-Type
1100011,111,,BGEU,B-Type
1110011,000,,ECALL,
1110011,000,,EBREAK,